Sample	posterior	likelihood	prior	treeLikelihood.dna	Tree.height	YuleModel	birthRate	monophyletic(TaxonSet.dna)	logP(mrca(TaxonSet.dna))	mrca.age(TaxonSet.dna)	clockRate	Tree.treeLength
2400000	-65.6234273948043	NaN	-65.6234273948043	NaN	29.2796218717113	-57.696301997332	0.115901294421977	0	-3.32195521148423	29.2796218717113	52.8747145163821	178.952920665858
2500000	-67.6303417470345	NaN	-67.6303417470345	NaN	22.8733695537409	-60.9268633754457	0.097983693667844	0	-2.09830818560067	22.8733695537409	52.995759042488	204.773291090709
2600000	-66.2158216592643	NaN	-66.2158216592643	NaN	22.4256640232887	-59.3467205755906	0.121679631966563	0	-2.26393089768552	22.4256640232887	36.1965927895642	185.361531853653
2700000	-63.5136174107862	NaN	-63.5136174107862	NaN	25.6457316274319	-57.0012000949451	0.143579306672513	0	-1.90724712985297	25.6457316274319	82.5509810492529	167.604624106315
2800000	-69.1334565537184	NaN	-69.1334565537184	NaN	26.7851866766624	-62.3504824060074	0.116917980067384	0	-2.17780396172298	26.7851866766624	5.86022849809419	216.227915503225
2900000	-65.2701536542959	NaN	-65.2701536542959	NaN	22.9016394512198	-58.5757271962659	0.216444475619352	0	-2.08925627204183	22.9016394512198	91.2868327800035	159.317696969338
3000000	-58.9842569564774	NaN	-58.9842569564774	NaN	24.834794999616	-52.550354769921	0.136033194849431	0	-1.82873200056829	24.834794999616	10.611571144993	134.894310725209
3100000	-61.188097174879	NaN	-61.188097174879	NaN	25.819857036006	-54.6459844211206	0.168464219636849	0	-1.93694256777034	25.819857036006	53.5021679029818	150.048416457283
3200000	-56.4268768081103	NaN	-56.4268768081103	NaN	25.7846927822288	-49.8911130429103	0.151474909000401	0	-1.93059357921195	25.7846927822288	62.529810550277	119.759059336975
3300000	-59.5140327185171	NaN	-59.5140327185171	NaN	22.2597729067897	-52.5726265418923	0.164942924001167	0	-2.33623599063668	22.2597729067897	3.15056452733508	134.219487550683
3400000	-62.707676265969	NaN	-62.707676265969	NaN	23.8525355367426	-56.2261238397109	0.109930709818314	0	-1.87638224026994	23.8525355367426	36.8834817468808	160.224556435205
3500000	-69.2621225496646	NaN	-69.2621225496646	NaN	26.0503685632034	-62.6740477677978	0.017698314984638	0	-1.98290459587872	26.0503685632034	1.77783809914664	188.363143625643
3600000	-59.8155992672953	NaN	-59.8155992672953	NaN	25.1912741254328	-53.3596124230711	0.353671463386626	0	-1.85081665823609	25.1912741254328	21.3910937690179	120.227866203218
3700000	-67.9676799458512	NaN	-67.9676799458512	NaN	25.7433422105119	-61.4391550472986	0.060525953443297	0	-1.92335471256455	25.7433422105119	95.0076992177074	216.146212389814
3800000	-68.573137275571	NaN	-68.573137275571	NaN	23.6006566308547	-62.0519943295219	0.03645389367475	0	-1.91597276006104	23.6006566308547	84.0432101812201	212.360568355485
3900000	-64.1220055941557	NaN	-64.1220055941557	NaN	28.6000344662916	-56.5736137253985	0.135672950229727	0	-2.94322168276909	28.6000344662916	21.0785153441151	168.260674882378
4000000	-70.4167739894153	NaN	-70.4167739894153	NaN	25.4304567498256	-63.9349447916977	0.053978239451792	0	-1.87665901172952	25.4304567498256	53.0245459499013	260.035771486677
4100000	-70.2237797566975	NaN	-70.2237797566975	NaN	29.186411277769	-62.3513128651258	0.082363455802767	0	-3.26729670558359	29.186411277769	54.8161594441799	230.650109785811
4200000	-69.8580734095218	NaN	-69.8580734095218	NaN	26.3952416231964	-63.187494517786	0.083217378297362	0	-2.06540870574772	26.3952416231964	61.8660926707666	237.662326698817
4300000	-62.3761242026797	NaN	-62.3761242026797	NaN	25.5976745221981	-55.8711275802644	0.12916570588793	0	-1.89982643642722	25.5976745221981	18.2911488447973	160.177492517062
4400000	-67.4632867768298	NaN	-67.4632867768298	NaN	27.0738861082534	-60.5845412897134	0.140027551513159	0	-2.27357530112834	27.0738861082534	96.7336511399839	195.03347940292
4500000	-70.5969643941948	NaN	-70.5969643941948	NaN	24.7089463454717	-64.1660238850465	0.009335186433251	0	-1.82577032316023	24.7089463454717	23.5836146510461	254.136713953716
4600000	-69.4852813476479	NaN	-69.4852813476479	NaN	27.95550115076	-62.2517536274222	0.043597718331512	0	-2.62835753423756	27.95550115076	28.4480695536587	227.939803049383
4700000	-68.4482550729108	NaN	-68.4482550729108	NaN	26.9623760002724	-61.6077402799545	0.073933671028874	0	-2.23534460696819	26.9623760002724	48.8265534751649	220.509818011734
4800000	-58.2974359511664	NaN	-58.2974359511664	NaN	25.1231698213639	-51.8472067444061	0.139291959145781	0	-1.84505902077222	25.1231698213639	42.2622284510053	130.570836183687
4900000	-70.979592310285	NaN	-70.979592310285	NaN	27.441794954908	-63.9639240194041	0.103462658000561	0	-2.41049810489278	27.441794954908	2.89253796255803	237.507163806423
5000000	-57.3831967606144	NaN	-57.3831967606144	NaN	24.8140282557884	-50.949959761132	0.147219135017266	0	-1.82806681349428	24.8140282557884	41.2748403603779	125.208333125803
5100000	-69.5453242229402	NaN	-69.5453242229402	NaN	25.6927087882846	-63.025327307255	0.088448323248052	0	-1.91482672969712	25.6927087882846	32.8068264382815	232.944872839494
